player_id,season,team_id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,minutes,tov,player_efficiency
203952,2022,1610612744,73,17.2,4.5,2.2,1.0,0.7,0.466,0.393,0.634,31.9,1.5,0.3
203952,2023,1610612744,37,17.1,5.0,2.3,1.2,0.8,0.473,0.396,0.611,32.2,1.3,0.7
203952,2024,1610612744,71,13.2,4.5,1.7,0.6,0.6,0.453,0.358,0.751,27.0,1.2,0.3
203952,2025,1610612748,60,18.0,4.5,2.6,1.0,0.8,0.448,0.374,0.763,30.7,1.7,0.4
203953,2021,1610612738,13,5.5,3.2,0.8,0.1,0.4,0.545,0.182,0.769,12.7,0.8,0.7
203953,2022,1610612738,12,4.4,2.3,0.5,0.3,0.1,0.474,0.5,1.0,9.4,0.7,0.6
203954,2021,1610612755,51,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.859,31.1,3.1,0.8
203954,2022,1610612755,68,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,33.8,3.1,0.7
203954,2023,1610612755,66,33.1,10.2,4.2,1.0,1.7,0.548,0.33,0.857,34.6,3.4,0.7
203954,2024,1610612755,39,34.7,11.0,5.6,1.2,1.7,0.529,0.388,0.883,33.6,3.8,1.3
203954,2025,1610612755,19,23.8,8.2,4.5,0.7,0.9,0.444,0.299,0.882,30.2,3.3,1.8
203957,2021,1610612745,6,3.8,2.8,2.2,0.7,0.3,0.385,0.182,0.5,19.4,1.2,1.4
